listingId,title,price,area_sqft,bhk,bathrooms,parking,location,city,latitude,longitude,floor_number,total_floors,furnishing,facing,age_years,possession_category,possession_date,is_under_construction,project_name,posted_date,propertyType,saleTag,data_source
21001984,3 BHK Flat,15500000.0,1149.0,3.0,2,1,"Laxminarayana Layout, Whitefield",Bengaluru,12.944318,77.710991,2.0,4.0,Fully Furnished,North,6.0,Ready to Move,,False,Uniidus Breeze,2026-08-27,resale,Resale,Real
20771543,2 BHK Flat,11200000.000000002,1225.0,2.0,2,1,"Residential Quarters, Yelahanka",Bengaluru,13.1219698905755,77.5777271576708,1.0,15.0,Semi Furnished,East,9.0,Ready to Move,,False,Veracious Vani Villas by Veracious Builders & Developers (P) LTD,2026-07-24,resale,Resale,Real
20839994,2 BHK Flat,12000000.0,1175.0,2.0,2,1,"Thirumalashettyhally, Bengaluru",Bengaluru,12.993337,77.806137,3.0,14.0,Unfurnished,West,3.0,Ready to Move,,False,Sowparnika Columns,2026-08-03,resale,Resale,Real
21032402,3 BHK Flat,15900000.0,1595.0,3.0,3,1,"Seegehalli, K R Puram",Bengaluru,13.0168979152543,77.7183019086097,1.0,17.0,Semi Furnished,Unknown,15.0,Ready to Move,,False,The Metropolitan Seegehalli MCHS Layout by The Metropolitan,2026-09-02,resale,Resale,Real
21032474,2 BHK Flat,17000000.0,1467.0,2.0,2,1,"Jayanagar Housing Society Layout, Subramanyapura",Bengaluru,12.8970808873654,77.5400787637717,1.0,5.0,Semi Furnished,Unknown,2.0,Ready to Move,,False,,2026-09-02,resale,Resale,Real
20890653,3 BHK Flat,21000000.0,1517.0,3.0,3,1,"Sai Sree Layout, Parappana Agrahara",Bengaluru,12.878853,77.671799,7.0,13.0,Unfurnished,North,1.0,Ready to Move,,False,Mahaveer Ranches Phase II,2026-08-10,resale,Resale,Real
21110943,3 BHK Flat,32000000.0,1800.0,3.0,3,1,"Government Quarters, C V Raman Nagar",Bengaluru,12.982854,77.660843,4.0,8.0,Semi Furnished,South,10.0,Ready to Move,,False,,2026-09-13,resale,Resale,Real
19663106,2 BHK Flat,10500000.0,1100.0,2.0,2,3,"Gollahalli, Electronic City",Bengaluru,12.829923,77.666214,4.0,13.0,Unfurnished,Unknown,7.0,Ready to Move,,False,MJR Clique Hercules,2026-07-23,resale,Resale,Real
20218057,4 BHK Flat,29000000.0,1850.0,4.0,3,2,"Anchepalya, Bengaluru",Bengaluru,13.052793,77.488559,12.0,30.0,Semi Furnished,East,5.0,Ready to Move,,False,Prestige Jindal City,2026-05-12,resale,Resale,Real
20817239,2 BHK Flat,12800000.0,970.0,2.0,2,1,"Begur, Bengaluru",Bengaluru,12.869567,77.634377,12.0,28.0,Unfurnished,East,1.0,Ready to Move,,False,CANVAS & COVE,2026-08-11,resale,Resale,Real
